YEAR,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2000,Total Electric Power Industry,Hydroelectric Conventional,"1,427,679"
2000,Total Electric Power Industry,Natural Gas,"12,607,264"
2000,Total Electric Power Industry,Nuclear,"18,882,432"
2000,Total Electric Power Industry,Other,61
2000,Total Electric Power Industry,Other Biomass,"1,098,785"
2000,Total Electric Power Industry,Petroleum,"1,189,263"
2000,Total Electric Power Industry,Pumped Storage,"-1,053,698"
2000,Total Electric Power Industry,Wind,0
2000,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,790,809"
2000,"Electric Generators, Independent Power Producers",Total,"1,751,365"
2000,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"72,721"
2000,"Electric Generators, Independent Power Producers",Natural Gas,"61,768"
2000,"Electric Generators, Independent Power Producers",Other Biomass,"595,169"
2000,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"1,021,707"
2000,"Electric Generators, Electric Utilities",Total,"89,572,141"
2000,"Electric Generators, Electric Utilities",Coal,"66,980,252"
2000,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,328,083"
2000,"Electric Generators, Electric Utilities",Natural Gas,"2,441,140"
2000,"Electric Generators, Electric Utilities",Nuclear,"18,882,432"
2000,"Electric Generators, Electric Utilities",Other Biomass,0
2000,"Electric Generators, Electric Utilities",Petroleum,"993,932"
2000,"Electric Generators, Electric Utilities",Pumped Storage,"-1,053,698"
2000,"Electric Generators, Electric Utilities",Wind,0
2000,"Combined Heat and Power, Industrial Power",Total,"1,787,762"
2000,"Combined Heat and Power, Industrial Power",Coal,"556,704"
2000,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"26,875"
2000,"Combined Heat and Power, Industrial Power",Natural Gas,"267,616"
2000,"Combined Heat and Power, Industrial Power",Other Biomass,"3,830"
2000,"Combined Heat and Power, Industrial Power",Petroleum,"186,565"
2000,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"746,172"
2000,"Combined Heat and Power, Electric Power",Total,"10,476,170"
2000,"Combined Heat and Power, Electric Power",Coal,"472,402"
2000,"Combined Heat and Power, Electric Power",Natural Gas,"9,818,506"
2000,"Combined Heat and Power, Electric Power",Other Biomass,"159,411"
2000,"Combined Heat and Power, Electric Power",Petroleum,"2,921"
2000,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"22,930"
2000,"Combined Heat and Power, Commercial Power",Total,"622,156"
2000,"Combined Heat and Power, Commercial Power",Coal,"257,641"
2000,"Combined Heat and Power, Commercial Power",Natural Gas,"18,234"
2000,"Combined Heat and Power, Commercial Power",Other,61
2000,"Combined Heat and Power, Commercial Power",Other Biomass,"340,375"
2000,"Combined Heat and Power, Commercial Power",Petroleum,"5,845"
2001,Total Electric Power Industry,Total,"111,845,610"
2001,Total Electric Power Industry,Coal,"68,263,164"
2001,Total Electric Power Industry,Hydroelectric Conventional,"1,561,923"
2001,Total Electric Power Industry,Natural Gas,"13,173,511"
2001,Total Electric Power Industry,Nuclear,"26,710,782"
2001,Total Electric Power Industry,Other,"145,903"
2001,Total Electric Power Industry,Other Biomass,"661,121"
2001,Total Electric Power Industry,Other Gases,"5,614"
2001,Total Electric Power Industry,Petroleum,"749,887"
2001,Total Electric Power Industry,Pumped Storage,"-1,126,837"
2001,Total Electric Power Industry,Wind,280
2001,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,700,262"
2001,"Electric Generators, Independent Power Producers",Total,"2,399,130"
2001,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"85,484"
2001,"Electric Generators, Independent Power Producers",Natural Gas,"621,608"
2001,"Electric Generators, Independent Power Producers",Other,"123,577"
2001,"Electric Generators, Independent Power Producers",Other Biomass,"478,659"
2001,"Electric Generators, Independent Power Producers",Other Gases,"5,614"
2001,"Electric Generators, Independent Power Producers",Wind,280
2001,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"1,083,908"
2001,"Electric Generators, Electric Utilities",Total,"97,067,330"
2001,"Electric Generators, Electric Utilities",Coal,"66,931,691"
2001,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,450,093"
2001,"Electric Generators, Electric Utilities",Natural Gas,"2,362,038"
2001,"Electric Generators, Electric Utilities",Nuclear,"26,710,782"
2001,"Electric Generators, Electric Utilities",Other,"15,250"
2001,"Electric Generators, Electric Utilities",Other Biomass,0
2001,"Electric Generators, Electric Utilities",Other Gases,0
2001,"Electric Generators, Electric Utilities",Petroleum,"724,313"
2001,"Electric Generators, Electric Utilities",Pumped Storage,"-1,126,837"
2001,"Combined Heat and Power, Industrial Power",Total,"1,638,248"
2001,"Combined Heat and Power, Industrial Power",Coal,"710,969"
2001,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"26,346"
2001,"Combined Heat and Power, Industrial Power",Natural Gas,"268,340"
2001,"Combined Heat and Power, Industrial Power",Other Biomass,"20,334"
2001,"Combined Heat and Power, Industrial Power",Petroleum,"14,873"
2001,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"597,386"
2001,"Combined Heat and Power, Electric Power",Total,"10,501,593"
2001,"Combined Heat and Power, Electric Power",Coal,"410,874"
2001,"Combined Heat and Power, Electric Power",Natural Gas,"9,901,408"
2001,"Combined Heat and Power, Electric Power",Other,"3,261"
2001,"Combined Heat and Power, Electric Power",Other Biomass,"157,097"
2001,"Combined Heat and Power, Electric Power",Petroleum,"9,985"
2001,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"18,968"
2001,"Combined Heat and Power, Commercial Power",Total,"239,309"
2001,"Combined Heat and Power, Commercial Power",Coal,"209,630"
2001,"Combined Heat and Power, Commercial Power",Natural Gas,"20,117"
2001,"Combined Heat and Power, Commercial Power",Other,"3,815"
2001,"Combined Heat and Power, Commercial Power",Other Biomass,"5,031"
2001,"Combined Heat and Power, Commercial Power",Petroleum,716
2002,Total Electric Power Industry,Total,"117,889,087"
2002,Total Electric Power Industry,Coal,"66,699,508"
2002,Total Electric Power Industry,Hydroelectric Conventional,"1,669,252"
2002,Total Electric Power Industry,Natural Gas,"15,853,418"
2002,Total Electric Power Industry,Nuclear,"31,087,454"
2002,Total Electric Power Industry,Other,"281,417"
2002,Total Electric Power Industry,Other Biomass,"745,124"
2002,Total Electric Power Industry,Other Gases,"10,108"
2002,Total Electric Power Industry,Petroleum,"1,103,485"
2002,Total Electric Power Industry,Pumped Storage,"-1,035,560"
2002,Total Electric Power Industry,Wind,329
2002,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,474,552"
2002,"Electric Generators, Independent Power Producers",Total,"5,030,864"
2002,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"82,461"
2002,"Electric Generators, Independent Power Producers",Natural Gas,"3,345,511"
2002,"Electric Generators, Independent Power Producers",Other,"155,479"
2002,"Electric Generators, Independent Power Producers",Other Biomass,"454,329"
2002,"Electric Generators, Independent Power Producers",Other Gases,"10,108"
2002,"Electric Generators, Independent Power Producers",Wind,329
2002,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"982,647"
2002,"Electric Generators, Electric Utilities",Total,"100,451,718"
2002,"Electric Generators, Electric Utilities",Coal,"65,389,899"
2002,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,557,942"
2002,"Electric Generators, Electric Utilities",Natural Gas,"2,336,031"
2002,"Electric Generators, Electric Utilities",Nuclear,"31,087,454"
2002,"Electric Generators, Electric Utilities",Other,"25,185"
2002,"Electric Generators, Electric Utilities",Other Biomass,0
2002,"Electric Generators, Electric Utilities",Other Gases,0
2002,"Electric Generators, Electric Utilities",Petroleum,"1,090,767"
2002,"Electric Generators, Electric Utilities",Pumped Storage,"-1,035,560"
2002,"Combined Heat and Power, Industrial Power",Total,"1,791,980"
2002,"Combined Heat and Power, Industrial Power",Coal,"821,208"
2002,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"28,849"
2002,"Combined Heat and Power, Industrial Power",Natural Gas,"446,997"
2002,"Combined Heat and Power, Industrial Power",Other Biomass,13
2002,"Combined Heat and Power, Industrial Power",Petroleum,"12,560"
2002,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"482,353"
2002,"Combined Heat and Power, Electric Power",Total,"10,137,521"
2002,"Combined Heat and Power, Electric Power",Coal,"258,603"
2002,"Combined Heat and Power, Electric Power",Natural Gas,"9,704,999"
2002,"Combined Heat and Power, Electric Power",Other,747
2002,"Combined Heat and Power, Electric Power",Other Biomass,"163,523"
2002,"Combined Heat and Power, Electric Power",Petroleum,97
2002,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"9,552"
2002,"Combined Heat and Power, Commercial Power",Total,"477,004"
2002,"Combined Heat and Power, Commercial Power",Coal,"229,798"
2002,"Combined Heat and Power, Commercial Power",Natural Gas,"19,880"
2002,"Combined Heat and Power, Commercial Power",Other,"100,006"
2002,"Combined Heat and Power, Commercial Power",Other Biomass,"127,259"
2002,"Combined Heat and Power, Commercial Power",Petroleum,61
2003,Total Electric Power Industry,Total,"111,347,060"
2003,Total Electric Power Industry,Coal,"67,777,483"
2003,Total Electric Power Industry,Hydroelectric Conventional,"1,385,823"
2003,Total Electric Power Industry,Natural Gas,"11,374,544"
2003,Total Electric Power Industry,Nuclear,"27,953,563"
2003,Total Electric Power Industry,Other,"309,112"
2003,Total Electric Power Industry,Other Biomass,"727,314"
2003,Total Electric Power Industry,Other Gases,"2,193"
2003,Total Electric Power Industry,Petroleum,"1,063,893"
2003,Total Electric Power Industry,Pumped Storage,"-1,017,246"
2003,Total Electric Power Industry,Wind,"2,660"
2003,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,767,721"
2003,"Electric Generators, Independent Power Producers",Total,"2,302,109"
2003,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"67,443"
2003,"Electric Generators, Independent Power Producers",Natural Gas,"576,957"
2003,"Electric Generators, Independent Power Producers",Other,"117,487"
2003,"Electric Generators, Independent Power Producers",Other Biomass,"538,253"
2003,"Electric Generators, Independent Power Producers",Other Gases,"2,193"
2003,"Electric Generators, Independent Power Producers",Petroleum,0
2003,"Electric Generators, Independent Power Producers",Wind,"2,660"
2003,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"997,117"
2003,"Electric Generators, Electric Utilities",Total,"96,634,055"
2003,"Electric Generators, Electric Utilities",Coal,"66,448,916"
2003,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,242,987"
2003,"Electric Generators, Electric Utilities",Natural Gas,"1,098,627"
2003,"Electric Generators, Electric Utilities",Nuclear,"27,953,563"
2003,"Electric Generators, Electric Utilities",Other,"23,361"
2003,"Electric Generators, Electric Utilities",Other Biomass,0
2003,"Electric Generators, Electric Utilities",Other Gases,0
2003,"Electric Generators, Electric Utilities",Petroleum,"883,847"
2003,"Electric Generators, Electric Utilities",Pumped Storage,"-1,017,246"
2003,"Combined Heat and Power, Industrial Power",Total,"1,989,785"
2003,"Combined Heat and Power, Industrial Power",Coal,"671,674"
2003,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"75,394"
2003,"Combined Heat and Power, Industrial Power",Natural Gas,"313,879"
2003,"Combined Heat and Power, Industrial Power",Other,0
2003,"Combined Heat and Power, Industrial Power",Other Biomass,"3,479"
2003,"Combined Heat and Power, Industrial Power",Petroleum,"176,134"
2003,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"749,226"
2003,"Combined Heat and Power, Electric Power",Total,"9,917,144"
2003,"Combined Heat and Power, Electric Power",Coal,"420,201"
2003,"Combined Heat and Power, Electric Power",Natural Gas,"9,367,317"
2003,"Combined Heat and Power, Electric Power",Other,"56,063"
2003,"Combined Heat and Power, Electric Power",Other Biomass,"48,448"
2003,"Combined Heat and Power, Electric Power",Petroleum,"3,737"
2003,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"21,378"
2003,"Combined Heat and Power, Commercial Power",Total,"503,966"
2003,"Combined Heat and Power, Commercial Power",Coal,"236,692"
2003,"Combined Heat and Power, Commercial Power",Natural Gas,"17,764"
2003,"Combined Heat and Power, Commercial Power",Other,"112,201"
2003,"Combined Heat and Power, Commercial Power",Other Biomass,"137,134"
2003,"Combined Heat and Power, Commercial Power",Petroleum,175
2004,Total Electric Power Industry,Total,"118,487,269"
2004,Total Electric Power Industry,Coal,"68,606,019"
2004,Total Electric Power Industry,Hydroelectric Conventional,"1,539,584"
2004,Total Electric Power Industry,Natural Gas,"14,547,703"
2004,Total Electric Power Industry,Nuclear,"30,561,961"
2004,Total Electric Power Industry,Other,"291,381"
2004,Total Electric Power Industry,Other Biomass,"689,936"
2004,Total Electric Power Industry,Other Gases,"598,747"
2004,Total Electric Power Industry,Petroleum,"896,409"
2004,Total Electric Power Industry,Pumped Storage,"-1,112,984"
2004,Total Electric Power Industry,Wind,"1,875"
2004,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,866,638"
2004,"Electric Generators, Independent Power Producers",Total,"2,560,189"
2004,"Electric Generators, Independent Power Producers",Coal,"37,922"
2004,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"89,152"
2004,"Electric Generators, Independent Power Producers",Natural Gas,"801,002"
2004,"Electric Generators, Independent Power Producers",Other,"76,924"
2004,"Electric Generators, Independent Power Producers",Other Biomass,"470,523"
2004,"Electric Generators, Independent Power Producers",Other Gases,0
2004,"Electric Generators, Independent Power Producers",Petroleum,155
2004,"Electric Generators, Independent Power Producers",Wind,"1,875"
2004,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"1,082,636"
2004,"Electric Generators, Electric Utilities",Total,"99,608,512"
2004,"Electric Generators, Electric Utilities",Coal,"67,253,690"
2004,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,420,178"
2004,"Electric Generators, Electric Utilities",Natural Gas,"735,011"
2004,"Electric Generators, Electric Utilities",Nuclear,"30,561,961"
2004,"Electric Generators, Electric Utilities",Other,"34,693"
2004,"Electric Generators, Electric Utilities",Other Gases,"1,082"
2004,"Electric Generators, Electric Utilities",Petroleum,"714,881"
2004,"Electric Generators, Electric Utilities",Pumped Storage,"-1,112,984"
2004,"Combined Heat and Power, Industrial Power",Total,"1,877,911"
2004,"Combined Heat and Power, Industrial Power",Coal,"631,528"
2004,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"30,254"
2004,"Combined Heat and Power, Industrial Power",Natural Gas,"284,810"
2004,"Combined Heat and Power, Industrial Power",Other Biomass,"2,123"
2004,"Combined Heat and Power, Industrial Power",Petroleum,"170,608"
2004,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"758,587"
2004,"Combined Heat and Power, Electric Power",Total,"13,904,316"
2004,"Combined Heat and Power, Electric Power",Coal,"457,726"
2004,"Combined Heat and Power, Electric Power",Natural Gas,"12,692,413"
2004,"Combined Heat and Power, Electric Power",Other,"56,365"
2004,"Combined Heat and Power, Electric Power",Other Biomass,"66,551"
2004,"Combined Heat and Power, Electric Power",Other Gases,"597,665"
2004,"Combined Heat and Power, Electric Power",Petroleum,"10,753"
2004,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"22,844"
2004,"Combined Heat and Power, Commercial Power",Total,"536,342"
2004,"Combined Heat and Power, Commercial Power",Coal,"225,153"
2004,"Combined Heat and Power, Commercial Power",Natural Gas,"34,467"
2004,"Combined Heat and Power, Commercial Power",Other,"123,399"
2004,"Combined Heat and Power, Commercial Power",Other Biomass,"150,739"
2004,"Combined Heat and Power, Commercial Power",Petroleum,12
2004,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"2,571"
2005,Total Electric Power Industry,Total,"121,619,771"
2005,Total Electric Power Industry,Coal,"70,322,976"
2005,Total Electric Power Industry,Hydroelectric Conventional,"1,461,708"
2005,Total Electric Power Industry,Natural Gas,"13,763,892"
2005,Total Electric Power Industry,Nuclear,"32,871,574"
2005,Total Electric Power Industry,Other,"561,861"
2005,Total Electric Power Industry,Other Biomass,"716,561"
2005,Total Electric Power Industry,Other Gases,"372,119"
2005,Total Electric Power Industry,Petroleum,"877,559"
2005,Total Electric Power Industry,Pumped Storage,"-1,106,241"
2005,Total Electric Power Industry,Wind,"1,848"
2005,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,775,914"
2005,"Electric Generators, Independent Power Producers",Total,"4,337,023"
2005,"Electric Generators, Independent Power Producers",Coal,"126,800"
2005,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"76,767"
2005,"Electric Generators, Independent Power Producers",Natural Gas,"2,507,171"
2005,"Electric Generators, Independent Power Producers",Other,"82,550"
2005,"Electric Generators, Independent Power Producers",Other Biomass,"500,018"
2005,"Electric Generators, Independent Power Producers",Petroleum,0
2005,"Electric Generators, Independent Power Producers",Wind,"1,848"
2005,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"1,041,870"
2005,"Electric Generators, Electric Utilities",Total,"104,830,689"
2005,"Electric Generators, Electric Utilities",Coal,"69,158,736"
2005,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,355,963"
2005,"Electric Generators, Electric Utilities",Natural Gas,"1,717,091"
2005,"Electric Generators, Electric Utilities",Nuclear,"32,871,574"
2005,"Electric Generators, Electric Utilities",Other,"45,003"
2005,"Electric Generators, Electric Utilities",Other Gases,0
2005,"Electric Generators, Electric Utilities",Petroleum,"788,563"
2005,"Electric Generators, Electric Utilities",Pumped Storage,"-1,106,241"
2005,"Combined Heat and Power, Industrial Power",Total,"1,756,221"
2005,"Combined Heat and Power, Industrial Power",Coal,"457,857"
2005,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"28,978"
2005,"Combined Heat and Power, Industrial Power",Natural Gas,"272,397"
2005,"Combined Heat and Power, Industrial Power",Other,"262,768"
2005,"Combined Heat and Power, Industrial Power",Other Biomass,"3,022"
2005,"Combined Heat and Power, Industrial Power",Petroleum,"22,074"
2005,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"709,125"
2005,"Combined Heat and Power, Electric Power",Total,"10,161,162"
2005,"Combined Heat and Power, Electric Power",Coal,"348,350"
2005,"Combined Heat and Power, Electric Power",Natural Gas,"9,230,710"
2005,"Combined Heat and Power, Electric Power",Other,"55,371"
2005,"Combined Heat and Power, Electric Power",Other Biomass,"65,676"
2005,"Combined Heat and Power, Electric Power",Other Gases,"372,119"
2005,"Combined Heat and Power, Electric Power",Petroleum,"66,878"
2005,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"22,058"
2005,"Combined Heat and Power, Commercial Power",Total,"534,676"
2005,"Combined Heat and Power, Commercial Power",Coal,"231,233"
2005,"Combined Heat and Power, Commercial Power",Natural Gas,"36,523"
2005,"Combined Heat and Power, Commercial Power",Other,"116,170"
2005,"Combined Heat and Power, Commercial Power",Other Biomass,"147,845"
2005,"Combined Heat and Power, Commercial Power",Petroleum,44
2005,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"2,861"
2006,Total Electric Power Industry,Total,"112,556,738"
2006,Total Electric Power Industry,Coal,"67,780,161"
2006,Total Electric Power Industry,Hydroelectric Conventional,"1,520,353"
2006,Total Electric Power Industry,Natural Gas,"11,409,955"
2006,Total Electric Power Industry,Nuclear,"29,066,165"
2006,Total Electric Power Industry,Other,"562,522"
2006,Total Electric Power Industry,Other Biomass,"736,823"
2006,Total Electric Power Industry,Other Gases,"412,347"
2006,Total Electric Power Industry,Petroleum,"401,887"
2006,Total Electric Power Industry,Pumped Storage,"-1,039,210"
2006,Total Electric Power Industry,Wind,"2,212"
2006,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,703,524"
2006,"Electric Generators, Independent Power Producers",Total,"3,859,411"
2006,"Electric Generators, Independent Power Producers",Coal,"95,258"
2006,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"107,000"
2006,"Electric Generators, Independent Power Producers",Natural Gas,"2,036,800"
2006,"Electric Generators, Independent Power Producers",Other,"67,645"
2006,"Electric Generators, Independent Power Producers",Other Biomass,"515,522"
2006,"Electric Generators, Independent Power Producers",Other Gases,0
2006,"Electric Generators, Independent Power Producers",Petroleum,0
2006,"Electric Generators, Independent Power Producers",Wind,"2,212"
2006,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"1,034,974"
2006,"Electric Generators, Electric Utilities",Total,"97,373,706"
2006,"Electric Generators, Electric Utilities",Coal,"66,654,737"
2006,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,381,242"
2006,"Electric Generators, Electric Utilities",Natural Gas,"982,534"
2006,"Electric Generators, Electric Utilities",Nuclear,"29,066,165"
2006,"Electric Generators, Electric Utilities",Other,"37,278"
2006,"Electric Generators, Electric Utilities",Other Gases,"18,854"
2006,"Electric Generators, Electric Utilities",Petroleum,"272,106"
2006,"Electric Generators, Electric Utilities",Pumped Storage,"-1,039,210"
2006,"Combined Heat and Power, Industrial Power",Total,"1,730,994"
2006,"Combined Heat and Power, Industrial Power",Coal,"446,564"
2006,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"32,111"
2006,"Combined Heat and Power, Industrial Power",Natural Gas,"207,986"
2006,"Combined Heat and Power, Industrial Power",Other,"273,534"
2006,"Combined Heat and Power, Industrial Power",Other Biomass,"1,743"
2006,"Combined Heat and Power, Industrial Power",Other Gases,"92,409"
2006,"Combined Heat and Power, Industrial Power",Petroleum,"38,860"
2006,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"637,787"
2006,"Combined Heat and Power, Electric Power",Total,"9,077,221"
2006,"Combined Heat and Power, Electric Power",Coal,"354,340"
2006,"Combined Heat and Power, Electric Power",Natural Gas,"8,170,777"
2006,"Combined Heat and Power, Electric Power",Other,"64,688"
2006,"Combined Heat and Power, Electric Power",Other Biomass,"67,631"
2006,"Combined Heat and Power, Electric Power",Other Gases,"301,084"
2006,"Combined Heat and Power, Electric Power",Petroleum,"90,708"
2006,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"27,993"
2006,"Combined Heat and Power, Commercial Power",Total,"515,407"
2006,"Combined Heat and Power, Commercial Power",Coal,"229,261"
2006,"Combined Heat and Power, Commercial Power",Natural Gas,"11,858"
2006,"Combined Heat and Power, Commercial Power",Other,"119,377"
2006,"Combined Heat and Power, Commercial Power",Other Biomass,"151,927"
2006,"Combined Heat and Power, Commercial Power",Petroleum,214
2006,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"2,769"
2007,Total Electric Power Industry,Total,"119,309,936"
2007,Total Electric Power Industry,Coal,"70,810,599"
2007,Total Electric Power Industry,Hydroelectric Conventional,"1,269,989"
2007,Total Electric Power Industry,Natural Gas,"13,140,984"
2007,Total Electric Power Industry,Nuclear,"31,516,953"
2007,Total Electric Power Industry,Other,"302,966"
2007,Total Electric Power Industry,Other Biomass,"721,822"
2007,Total Electric Power Industry,Other Gases,"282,414"
2007,Total Electric Power Industry,Petroleum,"698,525"
2007,Total Electric Power Industry,Pumped Storage,"-1,129,241"
2007,Total Electric Power Industry,Wind,"2,723"
2007,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,692,202"
2007,"Electric Generators, Independent Power Producers",Total,"11,027,611"
2007,"Electric Generators, Independent Power Producers",Coal,"184,387"
2007,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"97,135"
2007,"Electric Generators, Independent Power Producers",Natural Gas,"3,368,878"
2007,"Electric Generators, Independent Power Producers",Nuclear,"5,826,015"
2007,"Electric Generators, Independent Power Producers",Other,"74,407"
2007,"Electric Generators, Independent Power Producers",Other Biomass,"494,063"
2007,"Electric Generators, Independent Power Producers",Other Gases,0
2007,"Electric Generators, Independent Power Producers",Petroleum,116
2007,"Electric Generators, Independent Power Producers",Wind,"2,723"
2007,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"979,886"
2007,"Electric Generators, Electric Utilities",Total,"96,785,842"
2007,"Electric Generators, Electric Utilities",Coal,"69,406,550"
2007,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,146,768"
2007,"Electric Generators, Electric Utilities",Natural Gas,"1,079,596"
2007,"Electric Generators, Electric Utilities",Nuclear,"25,690,938"
2007,"Electric Generators, Electric Utilities",Other,"40,131"
2007,"Electric Generators, Electric Utilities",Other Biomass,54
2007,"Electric Generators, Electric Utilities",Other Gases,"105,130"
2007,"Electric Generators, Electric Utilities",Petroleum,"445,915"
2007,"Electric Generators, Electric Utilities",Pumped Storage,"-1,129,241"
2007,"Combined Heat and Power, Industrial Power",Total,"1,542,101"
2007,"Combined Heat and Power, Industrial Power",Coal,"560,776"
2007,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"26,086"
2007,"Combined Heat and Power, Industrial Power",Natural Gas,"108,307"
2007,"Combined Heat and Power, Industrial Power",Other Biomass,484
2007,"Combined Heat and Power, Industrial Power",Petroleum,"170,508"
2007,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"675,941"
2007,"Combined Heat and Power, Electric Power",Total,"9,327,166"
2007,"Combined Heat and Power, Electric Power",Coal,"353,095"
2007,"Combined Heat and Power, Electric Power",Natural Gas,"8,560,327"
2007,"Combined Heat and Power, Electric Power",Other,"58,416"
2007,"Combined Heat and Power, Electric Power",Other Biomass,"61,761"
2007,"Combined Heat and Power, Electric Power",Other Gases,"177,284"
2007,"Combined Heat and Power, Electric Power",Petroleum,"81,792"
2007,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"34,491"
2007,"Combined Heat and Power, Commercial Power",Total,"627,216"
2007,"Combined Heat and Power, Commercial Power",Coal,"305,790"
2007,"Combined Heat and Power, Commercial Power",Natural Gas,"23,877"
2007,"Combined Heat and Power, Commercial Power",Other,"130,012"
2007,"Combined Heat and Power, Commercial Power",Other Biomass,"165,460"
2007,"Combined Heat and Power, Commercial Power",Petroleum,194
2007,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"1,884"
2008,Total Electric Power Industry,Total,"114,989,806"
2008,Total Electric Power Industry,Coal,"69,855,436"
2008,Total Electric Power Industry,Hydroelectric Conventional,"1,364,378"
2008,Total Electric Power Industry,Natural Gas,"9,602,037"
2008,Total Electric Power Industry,Nuclear,"31,484,428"
2008,Total Electric Power Industry,Other,"285,942"
2008,Total Electric Power Industry,Other Biomass,"739,537"
2008,Total Electric Power Industry,Other Gases,"264,407"
2008,Total Electric Power Industry,Petroleum,"457,538"
2008,Total Electric Power Industry,Pumped Storage,"-915,502"
2008,Total Electric Power Industry,Wind,"141,182"
2008,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,710,423"
2008,"Electric Generators, Independent Power Producers",Total,"10,953,505"
2008,"Electric Generators, Independent Power Producers",Coal,"58,315"
2008,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"90,705"
2008,"Electric Generators, Independent Power Producers",Natural Gas,"2,218,762"
2008,"Electric Generators, Independent Power Producers",Nuclear,"6,834,736"
2008,"Electric Generators, Independent Power Producers",Other,"78,859"
2008,"Electric Generators, Independent Power Producers",Other Biomass,"550,595"
2008,"Electric Generators, Independent Power Producers",Other Gases,0
2008,"Electric Generators, Independent Power Producers",Petroleum,0
2008,"Electric Generators, Independent Power Producers",Wind,"141,182"
2008,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"980,352"
2008,"Electric Generators, Electric Utilities",Total,"94,503,953"
2008,"Electric Generators, Electric Utilities",Coal,"68,421,489"
2008,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,247,863"
2008,"Electric Generators, Electric Utilities",Natural Gas,"784,967"
2008,"Electric Generators, Electric Utilities",Nuclear,"24,649,692"
2008,"Electric Generators, Electric Utilities",Other,"33,777"
2008,"Electric Generators, Electric Utilities",Other Biomass,63
